populationPercent,iso_639_3,Ref_Name,language,iso_alpha2,round,checked,comment
0.75,rof,Rombo,rof,TZ,4,1,
0.75,vun,Vunjo,vun,TZ,3,1,
0.75,jmc,Machame,jmc,TZ,3,1,
0.75,rof,Rombo,rof,TZ,3,1,
0.75,vun,Vunjo,vun,TZ,4,1,
0.75,vun,Vunjo,vun,TZ,2,1,
0.75,rof,Rombo,rof,TZ,2,1,
0.75,vun,Vunjo,vun,TZ,1,1,
0.75,rof,Rombo,rof,TZ,1,1,
0.75,jmc,Machame,jmc,TZ,1,1,
0.75,jmc,Machame,jmc,TZ,2,1,
0.74,teo,Teso,teo,KE,6,1,"Appears in some, but not all rounds"
0.74,teo,Teso,teo,KE,3,1,
0.64,ven,Venda,ve,ZW,3,1,"Appears in some, but not all rounds"
0.61,bjt,Balanta-Ganja,bjt,SN,6,1,Doesn't appear
0.61,bjt,Balanta-Ganja,bjt,SN,5,1,
0.61,bjt,Balanta-Ganja,bjt,SN,3,1,
0.61,bjt,Balanta-Ganja,bjt,SN,2,1,
0.61,bjt,Balanta-Ganja,bjt,SN,4,1,
0.54,kkj,Kako,kkj,CM,6,1,
0.54,bss,Akoose,bss,CM,6,1,
0.54,kkj,Kako,kkj,CM,5,1,
0.54,bss,Akoose,bss,CM,5,1,
0.51,zag,Zaghawa,zag,SD,6,1,
0.51,zag,Zaghawa,zag,SD,5,1,
0.47,mgo,Meta',mgo,CM,5,1,
0.47,mgo,Meta',mgo,CM,6,1,
0.33,zul,Zulu,zu,MW,4,1,
0.33,zul,Zulu,zu,MW,6,1,
0.33,zul,Zulu,zu,MW,3,1,
0.33,zul,Zulu,zu,MW,2,1,
0.33,zul,Zulu,zu,MW,5,1,
0.33,zul,Zulu,zu,MW,1,1,
0.27,afr,Afrikaans,af,BW,3,1,
0.27,afr,Afrikaans,af,BW,4,1,
0.27,afr,Afrikaans,af,BW,2,1,
0.24,snf,Noon,snf,SN,6,1,This could be the Serer language
0.24,snf,Noon,snf,SN,3,1,
0.24,snf,Noon,snf,SN,4,1,
0.24,snf,Noon,snf,SN,5,1,
0.24,snf,Noon,snf,SN,2,1,
0.23,kfo,Koro (C̫te d'Ivoire),kfo,CI,6,1,Doesn't appear
0.23,kfo,Koro (C̫te d'Ivoire),kfo,CI,5,1,
0.22,rwk,Rwa,rwk,TZ,2,1,"Appears in some, but not all rounds"
0.22,tsn,Tswana,tn,ZW,3,1,Appears in at least one round
0.22,tsn,Tswana,tn,ZW,5,1,
0.22,rwk,Rwa,rwk,TZ,4,1,
0.22,tsn,Tswana,tn,ZW,2,1,
0.22,tsn,Tswana,tn,ZW,4,1,
0.22,tsn,Tswana,tn,ZW,1,1,
0.22,rwk,Rwa,rwk,TZ,1,1,
0.21,knf,Mankanya,knf,SN,4,1,Doesn't appear
0.21,knf,Mankanya,knf,SN,3,1,
0.21,kaj,Jju,kaj,NG,3,1,
0.21,kaj,Jju,kaj,NG,4,1,
0.21,knf,Mankanya,knf,SN,2,1,Doesn't appear
0.21,kaj,Jju,kaj,NG,2,1,
0.21,knf,Mankanya,knf,SN,5,1,
0.21,kaj,Jju,kaj,NG,1,1,
0.21,knf,Mankanya,knf,SN,6,1,
0.2,sbp,Sangu (Tanzania),sbp,TZ,6,1,Appears in one round
0.2,sbp,Sangu (Tanzania),sbp,TZ,4,1,
0.2,sbp,Sangu (Tanzania),sbp,TZ,3,1,
0.2,sbp,Sangu (Tanzania),sbp,TZ,2,1,
0.2,sbp,Sangu (Tanzania),sbp,TZ,1,1,
0.17,bqv,Koro Wachi,bqv,CI,6,1,Doesn't appear
0.17,bqv,Koro Wachi,bqv,CI,5,1,
0.14,agq,Aghem,agq,CM,6,1,Doesn't appear
0.14,agq,Aghem,agq,CM,5,1,
0.098,bsc,Bassari,bsc,SN,3,1,"Appears in some, but not all rounds"
0.098,bsc,Bassari,bsc,SN,2,1,
0.093,kcg,Tyap,kcg,NG,6,1,In some but not all rounds
0.093,kcg,Tyap,kcg,NG,3,1,
0.093,kcg,Tyap,kcg,NG,2,1,
0.065,spa,Spanish,es,MA,6,1,
0.065,spa,Spanish,es,MA,5,1,
0.061,ell,Modern Greek (1453-),el,EG,5,1,
0.061,ell,Modern Greek (1453-),el,EG,6,1,
0.05,mey,Hassaniyya,mey,SN,3,1,"Appears in some, but not all rounds"
0.05,mey,Hassaniyya,mey,SN,2,1,
0.05,mey,Hassaniyya,mey,SN,5,1,
0.043,twq,Tasawaq,twq,NE,6,1,
0.043,twq,Tasawaq,twq,NE,5,1,
0.037,nmg,Kwasio,nmg,CM,6,1,
0.037,nmg,Kwasio,nmg,CM,5,1,
0.036,swa,Swahili (macrolanguage),sw,MZ,6,1,
0.036,swa,Swahili (macrolanguage),sw,MZ,5,1,
0.036,swa,Swahili (macrolanguage),sw,MZ,4,1,
0.024,tnr,M̩nik,tnr,SN,5,1,Doesn't appear. It has few speakers.
0.024,tnr,M̩nik,tnr,SN,2,1,
0.024,tnr,M̩nik,tnr,SN,3,1,
0.024,tnr,M̩nik,tnr,SN,6,1,
0.024,tnr,M̩nik,tnr,SN,4,1,
0.021,pan,Panjabi,pa,KE,6,1,
0.021,cch,Atsam,cch,NG,6,1,
0.021,cch,Atsam,cch,NG,5,1,
0.021,pan,Panjabi,pa,KE,5,1,
0.021,cch,Atsam,cch,NG,4,1,
0.021,pan,Panjabi,pa,KE,4,1,
0.021,cch,Atsam,cch,NG,3,1,
0.021,pan,Panjabi,pa,KE,2,1,
0.021,cch,Atsam,cch,NG,2,1,
0.021,pan,Panjabi,pa,KE,3,1,
0.015,saf,Safaliba,saf,GH,4,1,
0.015,saf,Safaliba,saf,GH,2,1,
0.015,saf,Safaliba,saf,GH,3,1,
0.015,saf,Safaliba,saf,GH,6,1,
0.015,saf,Safaliba,saf,GH,5,1,
0.015,saf,Safaliba,saf,GH,1,1,
0.011,guj,Gujarati,gu,KE,6,1,"Appears in some, but not all rounds"
0.011,guj,Gujarati,gu,KE,5,1,
0.011,guj,Gujarati,gu,KE,4,1,
0.0094,yav,Yangben,yav,CM,5,1,
0.0094,yav,Yangben,yav,CM,6,1,
0.0087,amo,Amo,amo,NG,6,1,
0.0087,amo,Amo,amo,NG,4,1,
0.0087,amo,Amo,amo,NG,2,1,
0.0087,amo,Amo,amo,NG,3,1,
0.0087,amo,Amo,amo,NG,1,1,
0.0087,amo,Amo,amo,NG,5,1,
0.0069,zul,Zulu,zu,MZ,6,1,
0.0069,zul,Zulu,zu,MZ,5,1,
0.0069,zul,Zulu,zu,MZ,4,1,
0.0069,zul,Zulu,zu,MZ,3,1,
0.0069,zul,Zulu,zu,MZ,2,1,
0.0057,hin,Hindi,hi,UG,6,1,
0.0057,hin,Hindi,hi,UG,5,1,
0.0057,hin,Hindi,hi,UG,4,1,
0.0057,hin,Hindi,hi,UG,3,1,
0.0057,hin,Hindi,hi,UG,1,1,
0.0057,hin,Hindi,hi,UG,2,1,
0.0018,swa,Swahili (macrolanguage),sw,ZA,6,1,
0.0018,swa,Swahili (macrolanguage),sw,ZA,1,1,
0.0018,swa,Swahili (macrolanguage),sw,ZA,4,1,
0.0018,swa,Swahili (macrolanguage),sw,ZA,3,1,
0.0018,swa,Swahili (macrolanguage),sw,ZA,5,1,
0.0018,swa,Swahili (macrolanguage),sw,ZA,2,1,
