round,variable,type,value,label,country,lang_name,iso_639_3,glottocode,wals,n_resp,prop
1,language,respondent,122,Isoko,NG,isoko,iso,isok1239,iso,27,0.00749375520399667
1,language,respondent,123,Ikan,NG,ikan,ikk,ikaa1238,igb izi,4,0.0011101859561476548
1,language,respondent,124,Ishan/Esan,NG,ishan/esan,ish,esan1238,bni ora,19,0.00527338329170136
1,language,respondent,125,Anam,NG,anam,anw,anaa1238,efi ibi,1,2.775464890369137e-4
1,language,respondent,126,Annag,NG,annag,anw,anaa1238,efi ibi,5,0.0013877324451845685
1,language,respondent,127,Itsekiri,NG,itsekiri,its,isek1239,ise,6,0.0016652789342214821
1,language,respondent,128,Ika,NG,ika,ikk,ikaa1238,igb izi,2,5.550929780738274e-4
1,language,respondent,129,Ukwale,NG,ukwale,ukw,ukwu1242,igb izi,1,2.775464890369137e-4
1,language,respondent,130,Epie,NG,epie,epi,epie1238,deg egn,5,0.0013877324451845685
1,language,respondent,131,Tangoa,NG,tangoa,uta,otan1238,tiv,1,2.775464890369137e-4
1,language,respondent,132,Omoku,NG,omoku,iso,unog1238,iso,1,2.775464890369137e-4
1,language,respondent,133,Ora,NG,ora,ema,oraa1239,ora,1,2.775464890369137e-4
1,language,respondent,134,Auche,NG,auche,ets,auch1238,ets,1,2.775464890369137e-4
1,language,respondent,135,Okirika,NG,okirika,okr,kiri1254,ijo,5,0.0013877324451845685
1,language,respondent,136,Esako,NG,esako,ets,yekh1238,ets,2,5.550929780738274e-4
1,language,respondent,137,Okpe,NG,okpe,oke,okpe1250,iso urh,1,2.775464890369137e-4
1,language,respondent,138,Owan,NG,owan,ema,emai1241,ora,1,2.775464890369137e-4
1,language,respondent,139,Ikwerre,NG,ikwerre,ikw,ikwe1242,igb izi,66,0.018318068276436304
1,language,respondent,140,Ibani,NG,ibani,iby,iban1261,ijo,2,5.550929780738274e-4
1,language,respondent,141,Kalabari,NG,kalabari,ijn,kala1381,ijo,4,0.0011101859561476548
1,language,respondent,142,Ogoni,NG,ogoni,ogo,khan1278,kan,2,5.550929780738274e-4
1,language,respondent,143,Akassa,NG,akassa,ijs,akas1241,ijo,1,2.775464890369137e-4
1,language,respondent,145,Berieberi,NG,berieberi,knc,cent2050,knr,1,2.775464890369137e-4
1,language,respondent,146,Fulani,NG,fulani,fuv,nige1253,fni,27,0.00749375520399667
