round,variable,country,lang_name,iso_639_3,iso_scope,iso_ref_name,iso_alpha2
4,Q3OTHER,5,guan,gwx,I,Gua,GH
4,Q3OTHER,6,gujarat,guj,I,Gujarati,KE
4,Q3OTHER,14,gwari,gbr,I,Gbagyi,NG
4,Q3OTHER,1,haoussa,hau,I,Hausa,BJ
4,Q3OTHER,11,haoussa,hau,I,Hausa,ML
4,Q3OTHER,14,higgi,hig,I,Kamwe,NG
4,Q3OTHER,14,ibani,iby,I,Ibani,NG
4,Q3OTHER,14,ichen,ich,I,Etkywan,NG
4,Q3OTHER,19,icishila,mis,S,Uncoded languages,ZM
4,Q3OTHER,14,igara,igl,I,Igala,NG
4,Q3OTHER,14,igede,ige,I,Igede,NG
4,Q3OTHER,6,indian,guj,I,Gujarati,KE
4,Q3OTHER,16,indian,hin,I,Hindi,ZA
4,Q3OTHER,14,ipia,mis,S,Uncoded languages,NG
4,Q3OTHER,7,isixhoza,xho,I,Xhosa,LS
4,Q3OTHER,14,iyala,yba,I,Yala,NG
4,Q3OTHER,14,jukun,jbu,I,Jukun Takum,NG
4,Q3OTHER,14,jukun donga,jbu,I,Jukun Takum,NG
4,Q3OTHER,3,kado,mis,S,Uncoded languages,BF
4,Q3OTHER,14,kagoro,kcg,I,Tyap,NG
4,Q3OTHER,14,kagoru,kcg,I,Tyap,NG
4,Q3OTHER,17,kakaguru,mis,S,Uncoded languages,TZ
4,Q3OTHER,11,kakolo,xkg,I,Kagoro,ML
4,Q3OTHER,18,kakwa,keo,I,Kakwa,UG
4,Q3OTHER,14,kalabari,ijn,I,Kalabari,NG
4,Q3OTHER,14,kambari,tsw,I,Tsishingini,NG
4,Q3OTHER,14,kambu,lmp,I,Limbum,NG
4,Q3OTHER,3,karakan,mis,S,Uncoded languages,BF
4,Q3OTHER,18,karamajong,mis,S,Uncoded languages,UG
4,Q3OTHER,20,karanga,sna,I,Shona,ZW
4,Q3OTHER,14,kari-kari,kai,I,Karekare,NG
4,Q3OTHER,5,kasem,xsm,I,Kasem,GH
4,Q3OTHER,5,kasina,xsm,I,Kasem,GH
4,Q3OTHER,14,kataf,kcg,I,Tyap,NG
4,Q3OTHER,14,kataf(atyap),kcg,I,Tyap,NG
4,Q3OTHER,14,khana,ogo,I,Khana,NG
4,Q3OTHER,10,khokhola,kzn,I,Kokola,MW
4,Q3OTHER,17,kial-yorobi,mis,S,Uncoded languages,TZ
4,Q3OTHER,17,kiarusha,mis,S,Uncoded languages,TZ
4,Q3OTHER,17,kiasi,mis,S,Uncoded languages,TZ
4,Q3OTHER,17,kibarbaik,mis,S,Uncoded languages,TZ
4,Q3OTHER,17,kibembe,bmb,I,Bembe,TZ
4,Q3OTHER,17,kibena,bez,I,Bena (Tanzania),TZ
4,Q3OTHER,17,kibondei,bou,I,Bondei,TZ
4,Q3OTHER,17,kibungu,wun,I,Bungu,TZ
4,Q3OTHER,17,kidigo,dig,I,Digo,TZ
4,Q3OTHER,17,kiha,haq,I,Ha,TZ
4,Q3OTHER,17,kihangaza,han,I,Hangaza,TZ
4,Q3OTHER,17,kihindi,hin,I,Hindi,TZ
4,Q3OTHER,17,kiiraqi,mis,S,Uncoded languages,TZ
4,Q3OTHER,17,kijaluo,mis,S,Uncoded languages,TZ
4,Q3OTHER,17,kijita,jit,I,Jita,TZ
4,Q3OTHER,17,kikerewe,ked,I,Kerewe,TZ
4,Q3OTHER,17,kikimbu,kiv,I,Kimbu,TZ
4,Q3OTHER,17,kikine,ssc,I,Suba-Simbiti,TZ
4,Q3OTHER,17,kikinga,zga,I,Kinga,TZ
4,Q3OTHER,17,kikonongo,kcz,I,Konongo,TZ
4,Q3OTHER,17,kikutu,kdc,I,Kutu,TZ
4,Q3OTHER,17,kikwaya,kya,I,Kwaya,TZ
4,Q3OTHER,17,kilambya,lai,I,Lambya,TZ
4,Q3OTHER,17,kilindi,mis,S,Uncoded languages,TZ
