country,name,iso_639_3,glottocode,wals
UG,mulamogi,xog,soga1242,lda
UG,mululi,ruc,ruul1235,nko rny rru tal
UG,mulundi,run,rund1242,rnd
ZM,mumba,mis,,
NG,mumugar,mis,,
NG,mumuye,mzm,nucl1240,mum
CM,mundani,mnf,mund1327,mud
MZ,munga,mhm,makh1265,mua
MZ,muni,mis,,
MZ,muniga,mhm,makh1265,mua
MZ,muninga,mhm,makh1265,mua
MZ,munoga,mhm,makh1265,mua
UG,munyabindi,mis,,
UG,munyarwanda,kin,kiny1244,kin
KE,munyaya,orc,orma1241,orb
NG,mupun,sur,mwag1236,mup
UG,muruli,ruc,ruul1235,nko rny rru tal
UG,murundi,run,rund1242,rnd
NG,muryang,mis,,
CM,musgum,mug,musg1254,mgu
ZW,mushangwe,mis,,
UG,musungora,koo,konz1239,nde
UG,mutagwenda,nyo,nyor1246,rru
UG,mutgwenda,nyo,nyor1246,rru
NG,mwaghauw,sur,mwag1236,mup
NG,mwaghavul,sur,mwag1236,mup
NG,mwaghawul,sur,mwag1236,mup
UG,mwamba,rwm,amba1263,bia
NG,mwangavul,sur,mwag1236,mup
GA,myénè,mye,myen1241,mpo
MZ,myungue,nyu,nyun1248,sen
LS,mzema,mis,,
TG,n'tcha (bassar),bud,ntch1242,ncm
GH,nabdam,gur,fare1241,grn
GH,nabi,gur,fare1241,grn
GH,nafaana,nfr,nafa1258,naf
GH,nafana,nfr,nafa1258,naf
GH,nahumuru,ncu,chum1261,cum
MZ,naindo,cwb,main1272,eko mua
GN,nallou,naj,nalu1240,bfd bsr fbf fgo fgu fma fni fum kgi ndt noo plr wlf
NA,nama,naq,nama1264,kho
ZW,nama,naq,nama1264,kho
NA,nama / damara,naq,nama1264,kho
NA,nama/damara,naq,nama1264,kho
ZW,nambiya,nmq,namb1291,klz
ZW,nambya,nmq,namb1291,klz
MZ,namica,mis,,
MW,namwanga,mwn,nyam1275,mmw
ZM,namwanga,mwn,nyam1275,mmw
NG,nanba/wanba,mis,,
KE,nandi,niq,nand1266,nan
GH,nankan,gur,fare1241,grn
GH,nankani,gur,fare1241,grn
GH,nanum,dag,dagb1246,dgb
GH,nanumba,dag,dagb1246,dgb
MZ,naoniga,mis,,
BJ,natimba,ntm,nate1242,ntn
MZ,national language,por,port1283,por
CI,naturalise,und,,
TG,nawdem (losso),nmz,nawd1238,bmb grm kkb ncm
GH,nawuri,naw,nawu1242,cum
GH,nawurt,mis,,
NG,nbula,ndr,ndoo1241,mla
CM,nchang,mis,,
CM,nchani,mis,,
CM,nchanih,mis,,
GH,nchunmuru,ncu,chum1261,cum
NG,ndala,ndr,ndoo1241,mla
MW,ndali,ndh,ndal1241,mmw nyh
MZ,ndau,ndc,ndau1241,shn
ZW,ndau,ndc,ndau1241,shn
ZA,ndebela,nbl,sout2808,ndb
BW,ndebele,nde,nort2795,swt xho zul
NA,ndebele,nde,nort2795,swt xho zul
ZM,ndebele,nde,nort2795,swt xho zul
ZW,ndebele,nde,nort2795,swt xho zul
LS,ndebele,nbl,sout2808,ndb
SZ,ndebele,nbl,sout2808,ndb
ZA,ndebele,nbl,sout2808,ndb
CM,ndi,www,wawa1246,mla
NG,ndochi,mis,,
NG,ndola,ndr,ndoo1241,mla
NG,ndoro,ndr,ndoo1241,mla
NG,nedere,kmy,koma1266,doy
NG,nembe,ijs,sout2774,ijo
CI,neyo,wec,wewe1238,gue
UG,ngakarimajong,kdj,kara1483,kmj
TG,ngam-gam,gng,ngan1299,kkb
CM,ngambaye,mis,,
NG,ngas,anc,ngas1240,anc
CM,ngemba,nge,ngem1255,mkq
CM,ngi,ngj,ngie1242,mud
CM,ngoa,mis,,
CM,ngobale,mis,,
TZ,ngoni,ngo,ngon1269,ngo
MW,ngoni,nya,ngon1270,cic
ZM,ngoni,nse,ngon1271,nse
MZ,ngony,mis,,
CM,ngou,mis,,
CM,ngueba,nnh,ngie1241,fef yem
ZM,ngumbo,bem,bemb1257,lmb
MZ,ngungue,nyu,nyun1248,sen
CM,nguo,mis,,
CM,ngwoh,mis,,
CM,ngyemboon,nnh,ngie1241,fef yem
MZ,nharinga,mis,,
MZ,nhugue,nyu,nyun1248,sen
MZ,nhumgue,nyu,nyun1248,sen
MZ,nhungoe,nyu,nyun1248,sen
MZ,nhungue,mxc,hung1277,shn
MZ,nhunguem,nyu,nyun1248,sen
MZ,nhungwe,nyu,nyun1248,sen
MZ,nhunhue,nyu,nyun1248,sen
MZ,nhunque,nyu,nyun1248,sen
NG,nigili,mgi,liji1238,bir fye gwo kgm mdz tok
NG,ningawa,mis,,
NG,ninzom,nin,ninz1246,mdz
CM,njikwa,ngn,ngwo1241,mud
MZ,njumgue,nyu,nyun1248,sen
MZ,njungue,nyu,nyun1248,sen
MZ,njungur,nyu,nyun1248,sen
CM,nkambe,mis,,
ZM,nkaya,nya,nyan1308,cic
MW,nkhonde,nyy,nkon1246,mmw nyh
GH,nkona,nko,nkon1245,nkn
ZM,nkoya,nka,nkoy1244,blu hem kil kyo sge
GH,nkura,nku,kula1277,bmb brb buy dga dgb grm grn kby kfe kir kkb kni kow lob lye mmp moo ncm nnn ntn ssa tem tmp tou tow vag wwa xsm
NG,nkwana,mis,,
CM,nkwen,mfd,mend1261,baf mbi mkq
ZW,nleya zambia,mis,,
CM,nlimbom,mis,,
CM,nnaga eboko,mis,,
GH,noingo,ada,adan1247,ga
CM,noni,nhu,noon1243,non
NG,normana,nbr,numa1252,mdz
NG,north ivie,mis,,
GH,nsahas,mis,,
MZ,nsenga,nse,nucl1377,tsw
ZM,nsenga,nse,nucl1397,nse
CM,nsie,mis,,
CM,nso,lns,lamn1239,lns
ZM,nswaka,mis,,
CM,ntem,mis,,
CM,ntenako,mis,,
CM,ntoumou,fan,ntum1238,buw ewo
KE,nubi,kcn,nubi1253,nub
KE,nubian,kcn,nubi1253,nub
UG,nubian,kcn,nubi1253,nub
SD,nubian language,dgl fia ghl kdu kko mei wll,nubi1251,mid nbh
NG,numana,nbr,numa1252,mdz
MZ,nunga,mis,,
NG,nungu,rin,nung1292,mdz
NG,nupe,nup,nupe1254,nup
GH,nusu,mis,,
MZ,nuto,mis,,
NG,nwangavul,sur,mwag1236,mup
CM,nweh,nwe,ngwe1238,fef yem
ZW,nyaho (chawa),nya,chew1246,cic
TZ,nyakyusa,nyy,nyak1260,mmw nyh
KE,nyala,nle,east2409,luy
TZ,nyamwezi,nym,nyam1276,nym
NG,nyandang,ynq,yend1241,mum
MW,nyanja,nya,nyan1308,cic
MZ,nyanja,nya,nyan1308,cic
ZM,nyanja,nya,nyan1308,cic
ZW,nyanja,nya,nyan1308,cic
KE,nyarwanda,kin,kiny1244,kin
KE,nyasa,mis,,
ZW,nyasaland,nya,nyas1241,cic
CM,nyem nyem,sgi,suga1248,mla
NA,nyemba,kua,kuan1247,mhu ndo
MZ,nyhungue,nyu,nyun1248,sen
ZM,nyika,nih nkv,cent2285,nyh
MW,nyika,nkv,nyik1246,nyh
CM,nyokon,nvo,nyok1243,gun tki
MZ,nyongue,nyu,nyun1248,sen
KE,nyore,nyd,nyor1244,luy
MZ,nyuenge,nyu,nyun1248,sen
MZ,nyugue,nyu,nyun1248,sen
MZ,nyunge,nyu,nyun1248,sen
MZ,nyungue,nyu,nyun1248,sen
MZ,nyungunhe,nyu,nyun1248,sen
MZ,nyungwe,nyu,nyun1248,sen
MZ,nyyngue,nyu,nyun1248,sen
GA,nzébi/métié,nzb,njeb1242,dma
GH,nzema,nzi,nzim1238,anu ayi ble
CM,nzime,ozm,koon1245,mkz
CM,obang,etu,ejag1239,eja
NG,obodu,mis,,
NG,obubra,mis,,
CI,odienneka,jod,woje1238,mka
NG,ogae,mis,,
NG,ogaja,mis,,
NG,ogba,ogc,ogba1241,igb izi
NG,ogbia,ogb,ogbi1239,ogb
KE,ogiek,oki,okie1245,nan pkt seb
NG,ogoja,yba,yala1263,ido
NG,ogoni,ogo,khan1278,kan
NG,ohafia,ibo,nucl1417,igb
UG,okebu,ndp,ndoo1242,brz les mmv
NG,okirika,mis,,
NA,okjiherero,her,here1253,her
NG,okpe,oke,okpe1250,iso urh
NG,okpella,atg,ivbi1241,bni ets gho ora
GH,okre,mis,,
NG,okrika,okr,kiri1254,ijo
CM,oku,oku,okuu1243,oku
NG,okun,yor,yoru1245,yor
NG,olukumi,mis,,
UG,ombach,mis,,
NG,omoku,mis,,
NG,once,mis,,
NG,opobo,mis,,
NG,ora,mis,,
CM,oroko,bdu,orok1266,ldo
KE,oroma,orc,waat1239,orb
NG,oron,orx,oroo1241,efi ibi obo
CM,oshe,mis,,
CM,oshie,nsh,ngos1238,mud
NA,oshiwambo,kua,kuan1247,mhu ndo
NA,oshiwambo (oshindonga/oshikwanyama),kua ndo,ndon1253,mhu ndo
NG,ososo,oso,osos1238,bni ets gho ora
BJ,otamari,tbz,dita1238,ntn
UG,other eastern languages,und,,
NA,other kavango:rugririku,diu,diri1252,kwn
NA,other kavango:thimbukushu,mhw,mbuk1240,aka bbl bee blu bob bol bsh dma dng hem her ifm kil kon ktb kte kwn kwy kyo lbu lin luc luv mbe mbl mdw mgo mhu nbe ndo ndu nto sge sgl sgu sku tet tks umb vif yak yey yns
GH,other northern languages,und,,
UG,other northern languages,und,,
UG,other western languages,und,,
BW,otjiherero,her,here1253,her
NA,otjiherero,her,here1253,her
TG,ouatchi,wci,waci1239,ewa
BJ,outamari,tbz,dita1238,ntn
MZ,outra lingua,und,,
MZ,outras linguas,und,,
NA,ovambo languages,kua,kuan1247,mhu ndo
NG,owan,mis,,
MG,pakistanais,guj,guja1252,guj
NG,panso,lns,lamn1239,lns
BW,parakarungu,mis,,
TZ,pare,asa,asut1235,pre
ZA,pashto,pbu pus,nort2646,psh
ZA,pedi,nso,pedi1238,stn
ZA,pedi/north sotho,nso,pedi1238,stn
ZA,pedi/spedi/ north sotho,nso,pedi1238,stn
ZA,pedi/spedi/north sotho,nso,pedi1238,stn
SN,pepele,mis,,
ML,fulfulde/peul,ffm,maas1239,fum
ML,peugl/fulfulde,ffm,maas1239,fum
ML,peuhl,ffm,maas1239,fum
ML,peuhl/fulfulde,ffm,maas1239,fum
ML,peulh / fulfude,ffm,maas1239,fum
ML,peulh/ fulfulde,ffm,maas1239,fum
ML,peulh/fulfude,ffm,maas1239,fum
TG,peul,fue,borg1235,fgu fum
TG,peulh,fue,borg1235,fgu fum
BJ,peulh,fue fuh,fula1264,fbf fgo fgu fma fni fum
CI,peulh,ffm,maas1239,fum
CM,pidgin,wes,came1254,npi
NG,pidgin english,pcm,nige1257,npi
CM,pinyin,pny,piny1238,baf mbi mkq
MZ,poetugues e xitsua,por,port1283,por
KE,pokomo,pkb,poko1261,com
KE,pokot,pko,poko1263,pkt
BW,portueguese,por,port1283,por
CV,portueguese,por,port1283,por
KE,portueguese,por,port1283,por
MG,portueguese,por,port1283,por
MW,portueguese,por,port1283,por
MZ,portueguese,por,port1283,por
NA,portueguese,por,port1283,por
SN,portueguese,por,port1283,por
ST,portueguese,por,port1283,por
SZ,portueguese,por,port1283,por
TZ,portueguese,por,port1283,por
UG,portueguese,por,port1283,por
ZA,portueguese,por,port1283,por
ZM,portueguese,por,port1283,por
ZW,portueguese,por,port1283,por
BW,portugais,por,port1283,por
CV,portugais,por,port1283,por
KE,portugais,por,port1283,por
MG,portugais,por,port1283,por
MW,portugais,por,port1283,por
MZ,portugais,por,port1283,por
NA,portugais,por,port1283,por
SN,portugais,por,port1283,por
ST,portugais,por,port1283,por
SZ,portugais,por,port1283,por
TZ,portugais,por,port1283,por
UG,portugais,por,port1283,por
ZA,portugais,por,port1283,por
ZM,portugais,por,port1283,por
ZW,portugais,por,port1283,por
BW,portugues,por,port1283,por
CV,portugues,por,port1283,por
KE,portugues,por,port1283,por
MG,portugues,por,port1283,por
MW,portugues,por,port1283,por
MZ,portugues,por,port1283,por
NA,portugues,por,port1283,por
SN,portugues,por,port1283,por
ST,portugues,por,port1283,por
SZ,portugues,por,port1283,por
TZ,portugues,por,port1283,por
UG,portugues,por,port1283,por
ZA,portugues,por,port1283,por
ZM,portugues,por,port1283,por
ZW,portugues,por,port1283,por
BW,português,por,port1283,por
CV,português,por,port1283,por
KE,português,por,port1283,por
MG,português,por,port1283,por
MW,português,por,port1283,por
MZ,português,por,port1283,por
NA,português,por,port1283,por
SN,português,por,port1283,por
ST,português,por,port1283,por
SZ,português,por,port1283,por
TZ,português,por,port1283,por
UG,português,por,port1283,por
ZA,português,por,port1283,por
ZM,português,por,port1283,por
ZW,português,por,port1283,por
BW,portuguese,por,port1283,por
CV,portuguese,por,port1283,por
KE,portuguese,por,port1283,por
MG,portuguese,por,port1283,por
MW,portuguese,por,port1283,por
MZ,portuguese,por,port1283,por
NA,portuguese,por,port1283,por
SN,portuguese,por,port1283,por
ST,portuguese,por,port1283,por
SZ,portuguese,por,port1283,por
TZ,portuguese,por,port1283,por
UG,portuguese,por,port1283,por
ZA,portuguese,por,port1283,por
ZM,portuguese,por,port1283,por
ZW,portuguese,por,port1283,por
MZ,portugues e outras linguas,por,port1283,por
MZ,portugues e sena,por,port1283,por
BF,pougouli,pug,phui1238,kow ssa tmp vag
SN,pulaar,fuc,pula1263,fus
SN,pulaar/toucouleur,fuc,pula1263,fus
SN,pular,fuc,pula1263,fus
KE,punjabi,pan,panj1256,pan
GA,punu/mériè,puu,punu1239,sgu
NG,pyam,pym,fyam1238,fye
NG,pyem,pym,fyam1238,fye
MZ,quimuane,wmw,mwan1247,swa
NG,rendere,rin,nung1292,mdz
KE,rendile,rel,rend1243,ren
KE,rendille,rel,rend1243,ren
NG,ron,cla,ronn1241,ron
MZ,ronga,rng,rong1268,rga
UG,rufumbia,kin,kiny1244,kin
UG,rufumbiira,kin,kiny1244,kin
UG,rufumbira,kin,kiny1244,kin
UG,rugisu,kin,kiny1244,kin
NA,rugririku,diu,diri1252,kwn
NA,rugririku/rumanyo,diu,diri1252,kwn
UG,ruhororo,nyn,nyan1307,rny
UG,rukiga,cgg,chig1238,nko
UG,rukonjo,koo,konz1239,nde
UG,rukonzo,koo,konz1239,nde
NG,rukuba,ruk,chee1238,mdz
NA,rukwangali,kwn,kwan1273,kwn
UG,rululi,ruc,ruul1235,nko rny rru tal
UG,rulundi,run,rund1242,rnd
NA,rumbundu,umb,umbu1257,umb
UG,rungungu,rub,gung1250,buk gus hnd hya kin lda luy nbo nde nko rnd rny rru tal
UG,runyankole,nyn,nyan1307,rny
UG,runyankole - rukiga,cgg nyn,nkor1241,nko rny
UG,runyankole-rukiga,nyn,nyan1307,rny
UG,runyankore-rukiga,cgg,nkor1241,nko rny
UG,runyarwanda,kin,kiny1244,kin
UG,runyolo,nyo,nyor1246,rru
UG,runyoro,nyo,nyor1246,rru
UG,runyoro - rutooro,nyo ttj,nyor1247,rru
UG,runyoro-rutooro,nyo,nyor1247,rru
UG,ruruli,ruc,ruul1235,nko rny rru tal
UG,rusongora,koo,konz1239,nde
UG,rutagwenda,nyo,ruta1240,rru
UG,rutooro,ttj,toor1238,rru
UG,rutoro,ttj,toor1238,rru
UG,ruyankole,nyn,nyan1307,rny
UG,rwamba,rwm,amba1263,bia
UG,rwandese,kin,kiny1244,kin
KE,sabaot,spy,saba1262,seb
UG,sabiny,kpz,kups1238,seb
KE,saboti,spy,saba1262,seb
ZM,sala,shq,sala1266,ila toz
BF,sambla,sos,seek1238,bbf
UG,samia,lsm,saam1283,luy
UG,samia-lugwe,lsm,saam1283,luy
BF,samo,sbd stj sym,mand1437,bok bus
ML,samogo,dux,duun1242,bbf
ML,samoko,dux,duun1242,bbf
CI,samoro,mis,,
GH,sampa,mis,,
NA,san,ktz,juho1239,juh
CM,sanaga,bag,tuki1240,tki
LR,sapo,krn,sapo1251,gue
CM,sara,sba,ngam1268,ngm
LR,sarpo,krn,sapo1251,gue
CM,sawa,dua,dual1243,dua
NG,sayawa,say,saya1246,bad miy ngz paa
BW,sebanderu,mis,,
BW,sebirwa,brl,birw1238,stn
BW,sebolongwe,mis,,
GH,sefwi,sfw,sehw1238,anu ayi ble
GH,sefwi/sehwi,sfw,sehw1238,anu ayi ble
BW,segxereku,mis,,
BW,seherero,her,here1253,her
BW,sekalanga,kck,kala1384,klz
BW,sekgaladi,xkv,nucl1377,tsw
BW,sekgalagadi,xkv,nucl1377,tsw
BW,sekgothu,naq,nama1264,kho
BW,sekhurutsi,tsn,tswa1253,tsw
BW,sekolong,mis,,
BW,sembukushu,mhw,mbuk1240,aka bbl bee blu bob bol bsh dma dng hem her ifm kil kon ktb kte kwn kwy kyo lbu lin luc luv mbe mbl mdw mgo mhu nbe ndo ndu nto sge sgl sgu sku tet tks umb vif yak yey yns
MW,sena,swk,mala1475,sen
ZW,sena,nse,nsen1242,nse
MZ,sena,seh,nucl1396,sen
MZ,sena e portugues,seh,nucl1396,sen
BW,senajwa,mis,,
BW,senanjwa,mis,,
ZM,senga,nse,nucl1397,nse
MW,senga,tum,seng1277,cic sen
BW,sengologa,xkv,ngol1245,tsw
BF,senoufo,kza sen sep seq xrb,senu1239,dym naf nrg snd sup tny
CI,sénoufo,dyi plr seb sef sev tgw,senu1239,dym naf nrg snd sup tny
BF,sénoufo,kza sen sep seq xrb,senu1239,dym naf nrg snd sup tny
ML,senufo,myk shz spp,nort3254,nrg sup
ML,senufo/ mianka,myk,mama1271,nrg sup
GH,senya,afu,awut1241,cum nkn
BW,sepedi,nso,pedi1238,stn
NA,sepedi,nso,pedi1238,stn
ZA,sepedi,nso,pedi1238,stn
BW,sepedi/n.sotho,nso,pedi1238,stn
NA,sepedi/n.sotho,nso,pedi1238,stn
ZA,sepedi/n.sotho,nso,pedi1238,stn
LS,sephotsa,xho,xhos1239,xho
LS,sephuthi,ssw,swat1243,swt
LS,sephuti,ssw,swat1243,swt
LS,seputhi,ssw,swat1243,swt
LS,seputi,ssw,swat1243,swt
SN,serer,srr,sere1260,fbf fgo fgu fma fni fum
SN,serere,srr,sere1260,fbf fgo fgu fma fni fum
BW,sesarwa,hio,tsoa1238,det
BW,seshona,sna,shon1251,shn
BW,sesobea,sbs,subi1246,sub
BW,sesobeya,sbs,subi1246,sub
BW,sesotho,sot,sout2807,ses
LS,sesotho,sot,sout2807,ses
ZA,sesotho,sot,sout2807,ses
BW,"sesotho,sotho, s.sotho",sot,sout2807,ses
LS,"sesotho,sotho, s.sotho",sot,sout2807,ses
ZA,"sesotho,sotho, s.sotho",sot,sout2807,ses
BW,sesotho/sotho/ south sotho,sot,sout2807,ses
LS,sesotho/sotho/ south sotho,sot,sout2807,ses
ZA,sesotho/sotho/ south sotho,sot,sout2807,ses
BW,sesotho/sotho/south sotho,sot,sout2807,ses
LS,sesotho/sotho/south sotho,sot,sout2807,ses
ZA,sesotho/sotho/south sotho,sot,sout2807,ses
BW,sesotho/south sotho,sot,sout2807,ses
LS,sesotho/south sotho,sot,sout2807,ses
ZA,sesotho/south sotho,sot,sout2807,ses
BW,sesubia,sbs,subi1246,sub
BW,setebele,nde,nort2795,swt xho zul
LS,sethepu,xho,them1241,xho
BW,setlharo,mis,,
BW,setlharwa,mis,,
ZA,setsonga,tso,tson1249,tsn
ZA,setswana,tsn,tswa1253,tsw
ZA,setswana/ tswana,tsn,tswa1253,tsw
ZA,setswana/tswana,tsn,tswa1253,tsw
BW,setswapong,two,tswa1237,stn
BW,sexhereko,her,here1253,her
BW,sexhosa,xho,xhos1239,xho
BW,seyei,yey,yeyi1239,yey
BW,seyeyi,yey,yeyi1239,yey
BW,sezezuru,sna,zezu1238,shn
BW,sezuru,sna,zezu1238,shn
BJ,shabe,cbj,edec1238,yor
SZ,shangaan,tso,chan1318,tsn
ZA,shangaan,tso,chan1318,tsn
ZW,shangaan,tso,chan1318,tsn
ZA,shangaan/tsonga,tso,tson1249,tsn
ZA,shangaan/tsonga/ronga/tswa,tsc tso,tswa1254,rga tsn
ZW,shangaan/tsonga/ronga/tswa,tsc tso,tswa1254,rga tsn
ZW,shangani,tso,chan1318,tsn
ZW,shangwe,sna,shon1251,shn
KE,shelshel,mis,,
SL,sherbo,bun,sher1258,kis kss
SL,sherbro,bun,sher1258,kis kss
ZM,shila,tap,taab1238,tbw
MZ,shimakonde,kde,mako1251,mkd
MZ,shona,ndc,ndau1241,shn
BW,shona,sna,shon1251,shn
NA,shona,sna,shon1251,shn
ZM,shona,sna,shon1251,shn
ZW,shona,sna,shon1251,shn
ZW,shona & ndebele,sna,shon1251,shn
MZ,"shona, cheua",sna,shon1251,shn
BW,shona/sezuru,sna,shon1251,shn
NG,shuwa,shu,chad1249,arn
NG,shuwa arab,shu,chad1249,arn
CI,siaka,kga,koya1253,mka
NG,sidawa,say,saya1246,bad miy ngz paa
ZW,sidombe,mis,,
NA,sifwe,fwe,fwee1238,sub
BW,silozi,loz,lozi1239,loz
NA,silozi,loz,lozi1239,loz
ZM,silozi,loz,lozi1239,loz
ZM,siluchazi,mis,,
TG,sirka,mis,,
GH,sisaala,sil ssl,sisa1248,ssa
GH,sisila,sil ssl,sisa1248,ssa
BF,sissaba,mis,,
GH,sissala,sil ssl,sisa1248,ssa
GH,sissali,sil ssl,sisa1248,ssa
SZ,siswati,ssw,swat1243,swt
ZA,siswati,ssw,swat1243,swt
ZA,siswazi,ssw,swat1243,swt
NG,siyawa,mis,,
CM,so'o,mis,,
CI,sokouya,mis,,
BJ,sola,soy,miyo1238,bmb dga dgb grm grn kkb mmp moo ncm ntn wwa
TG,sola,soy,miyo1238,bmb dga dgb grm grn kkb mmp moo ncm ntn wwa
ZM,soli,sby,soli1239,ila toz
KE,somali,som,soma1255,som
GH,someja,mis,,
SN,sonike,snk,soni1259,snn
ML,sonink,snk,soni1259,snn
ML,soninke,snk,soni1259,snn
SN,soninke,snk,soni1259,snn
ML,soninké,snk,soni1259,snn
ML,soninké / sarakollé,snk,soni1259,snn
ML,soninke/ sarakoll,snk,soni1259,snn
ML,soninké/sarakolé,snk,soni1259,snn
BF,sonra,hmb,humb1243,kse zar
BF,sonrai,hmb,humb1243,kse zar
ML,sonrha,hmb khq ses,song1307,kch kse
ML,sonrhai,hmb khq ses,song1307,kch kse
ML,sonrhaï,hmb khq ses,song1307,kch kse
CM,soro,mis,,
ZW,sotho,nso,pedi1238,stn
ZA,sotho/south sotho,sot,sout2807,ses
GN,soussou,sus,susu1250,sus
SN,soussou,sus,susu1250,sus
LR,standard english,eng,stan1293,eng
KE,suba,sxb,suba1238,gus
TZ,sukuma,suk,suku1261,skm
MW,sukwa,ndh,ndal1241,mmw nyh
SL,susu,sus,susu1250,sus
ZW,suthu,tsn,tswa1253,tsw
BI,swahili,swh,swah1253,swa
KE,swahili,swh,swah1253,swa
SZ,swahili,swh,swah1253,swa
TZ,swahili,swh,swah1253,swa
UG,swahili,swh,swah1253,swa
ZM,swahili,swc,cong1236,swa
ZM,swaka,leb,lala1264,lmb
MZ,swazi,ssw,swat1243,swt
ZA,swazi,ssw,swat1243,swt
ZM,swazi,ssw,swat1243,swt
ZW,swazi,ssw,swat1243,swt
NG,taba,ldb,idun1241,kgm
ZM,tabwa,tap,taab1238,tbw
MZ,tacuane,tke,takw1238,eko mua
CI,tagbana,tgw,tagw1240,dym naf
CI,tagbanan,mis,,
KE,taita,dav,tait1250,dbd
GH,talensi,gur,fare1241,grn
BF,tamacheck,mis,,
ML,tamasheq,taq ttq,tuar1240,tai tsk
NE,tamasheq,thv thz ttq,tuar1240,tai tsk
MA,tamazight,tzm zgh,cent2194,bse
DZ,tamazight,kab,kaby1243,kbl
TG,tamberma,tbz,dita1238,ntn
GH,tampulma,tpm,tamp1252,tmp
MG,tanala,plt,tana1285,mal
KE,tanchoni,lts,tach1242,luy
SN,tanda,mis,,
NG,tangale,tan,nucl1696,tan
NG,tangali,tan,nucl1696,tan
NG,tangoa,uta,otan1238,tiv
UG,tanzanian,swh,swah1253,swa
GH,tapulsi,tpm,tamp1252,tmp
NG,tarah,ttr,tera1251,ter
NG,taroh,yer,taro1263,tok
NG,tarok,yer,taro1263,tok
ZW,taura (mozambican),twl,tawa1270,shn
KE,taveta,tvs,tave1240,pre
TG,tchamba,aks,akas1242,ncm
CM,tchang,ybb,yemb1246,yem
GN,tcheddere,mis,,
TG,tchokossi,cko,anuf1239,anu
TG,tchpkossi (anoufom),cko,anuf1239,anu
MZ,tchthewa,nya,chew1246,cic
TG,tem (kotokoli),kdh,temm1241,tem
TG,temberma,mis,,
SL,temne,tem,timn1235,tne
CI,teninka,mis,,
NG,tera,ttr,tera1251,ter
KE,teso,teo,teso1249,tes
MZ,tewe,twx,tewe1238,shn
KE,tharaka,thk,thar1283,kba kik
NA,thimbukushu,mhw,mbuk1240,aka bbl bee blu bob bol bsh dma dng hem her ifm kil kon ktb kte kwn kwy kyo lbu lin luc luv mbe mbl mdw mgo mhu nbe ndo ndu nto sge sgl sgu sku tet tks umb vif yak yey yns
NG,tigum,nza,tigo1236,juk
NG,tigun,nza,tigo1236,juk
CM,tikar,tik,tika1246,tik
CM,tikari,tik,tika1246,tik
GH,timbru,mis,,
KE,tiriki,ida,idak1243,buk luy
NG,tiv,tiv,tivv1240,tiv
BW,tjimbanderu,mis,,
ZM,tokaleya,toi,tong1318,toz
GN,toma,tod,toma1245,lma
GN,toma mania,tod,toma1245,lma
GH,tombolon,tpm,tamp1252,tmp
ZM,tonga,toi,tong1318,toz
ZW,tonga,toi,tong1318,toz
MW,tonga,tog,tong1321,cic sen
MZ,tonga,tso,tson1249,tsn
SZ,tonga,tso,tson1249,tsn
ZA,tonga,tso,tson1249,tsn
NA,totela,mis,,
NE,touareg,thv thz ttq,tuar1240,tai tsk
GN,touba,mis,,
NE,toubou,dzg,daza1242,tbu
CM,toupouri,tui,tupu1244,tpr
CI,tour,neb,tour1242,dbw
CI,toura,neb,tour1242,dbw
SN,tourka,mis,,
BF,toussian,tsp wib,tusi1238,tou tow
ML,trouka,mis,,
ZW,tsenga,nse,nucl1397,nse
GA,tsogho,tsv,tsog1243,tgo
SZ,tsonga,tso,tson1249,tsn
ZA,tsonga,tso,tson1249,tsn
NA,tswana,tsn,tswa1253,tsw
ZA,tswana,tsn,tswa1253,tsw
KE,tugen,tuy,tuge1241,nan
NG,tukun,nza,tigo1236,juk
NG,tula,tul,tula1252,bmb brb buy dga dgb grm grn kby kfe kir kkb kni kow lob lye mmp moo ncm nnn ntn ssa tem tmp vag wwa xsm
ZM,tumbka,mis,,
MW,tumbuka,tum,tumb1250,cic sen
ZM,tumbuka,tum,tumb1250,cic sen
ZW,tumbuka,tum,tumb1250,cic sen
BF,turka,tuz,turk1306,kir
KE,turkana,tuv,turk1308,tna
NG,ubibio,ibb,ibib1240,ibi
NG,ugep,yaz,loka1252,agb
NG,ukwale,ukw,ukwu1241,igb izi
NG,ukwani,ukw,ukwu1241,igb izi
NG,umone,bcs umm,kohu1243,koh
NG,urhobo,urh,urho1239,urh
ZM,ushi,auh,aush1241,lmb
ZM,usmi,mis,,
NA,uumbundu,umb,umbu1257,umb
NG,uwa,mis,,
NG,uzeba,mis,,
LR,vai,vai,vaii1241,vai
SL,vai,vai,vaii1241,vai
KE,vatsotso,lto,tsot1241,luy
NA,venda,ven,vend1245,ven
ZA,venda,ven,vend1245,ven
ZW,venda,ven,vend1245,ven
ZW,vhitori,sna,shon1251,shn
BF,vigue,vig,viem1243,bmb brb buy dga dgb grm grn kby kfe kir kkb kni kow lob lye mmp moo ncm nnn ntn ssa tem tmp tou tow vag wwa xsm
GH,wa dormu,mis,,
GH,waala,wlx,wali1263,dga
GH,waale,wlx,wali1263,dga
BJ,waama,wwa,waam1244,wwa
NG,waja,wja,waja1259,bmb brb buy dga dgb grm grn kby kfe kir kkb kni kow lob lye mmp moo ncm nnn ntn ssa tem tmp vag wwa xsm
CI,wan,wan,wann1242,wna
