respno,country,lang_name,iso_639_3,glottocode,wals,lang_numb
BEN0039,BJ,fon,fon,fonn1241,fon,2
BEN0039,BJ,adja,ajg,ajab1235,ajg,2
BEN0040,BJ,adja,ajg,ajab1235,ajg,2
BEN0040,BJ,fon,fon,fonn1241,fon,2
BEN0041,BJ,adja,ajg,ajab1235,ajg,1
BEN0042,BJ,adja,ajg,ajab1235,ajg,2
BEN0042,BJ,fon,fon,fonn1241,fon,2
BEN0043,BJ,adja,ajg,ajab1235,ajg,1
BEN0044,BJ,frabcais,fra,stan1290,fre,2
BEN0044,BJ,adja,ajg,ajab1235,ajg,2
BEN0045,BJ,adja,ajg,ajab1235,ajg,1
BEN0046,BJ,adja,ajg,ajab1235,ajg,2
BEN0046,BJ,fon,fon,fonn1241,fon,2
BEN0047,BJ,adja,ajg,ajab1235,ajg,3
BEN0047,BJ,fon,fon,fonn1241,fon,3
BEN0047,BJ,anglais,eng,stan1293,eng,3
BEN0048,BJ,adja,ajg,ajab1235,ajg,1
BEN0049,BJ,peulh,fue fuh,fula1264,fbf fgo fgu fma fni fum,2
BEN0049,BJ,fon,fon,fonn1241,fon,2
BEN0050,BJ,adja,ajg,ajab1235,ajg,2
BEN0050,BJ,fon,fon,fonn1241,fon,2
BEN0051,BJ,fon,fon,fonn1241,fon,2
BEN0051,BJ,adja,ajg,ajab1235,ajg,2
BEN0052,BJ,adja,ajg,ajab1235,ajg,2
BEN0052,BJ,fon,fon,fonn1241,fon,2
BEN0053,BJ,adja,ajg,ajab1235,ajg,3
BEN0053,BJ,fon,fon,fonn1241,fon,3
BEN0053,BJ,francais,fra,stan1290,fre,3
BEN0054,BJ,adja,ajg,ajab1235,ajg,2
BEN0054,BJ,fon,fon,fonn1241,fon,2
BEN0055,BJ,adja,ajg,ajab1235,ajg,2
BEN0055,BJ,fon,fon,fonn1241,fon,2
BEN0056,BJ,adja,ajg,ajab1235,ajg,2
BEN0056,BJ,fon,fon,fonn1241,fon,2
BEN0057,BJ,adja,ajg,ajab1235,ajg,2
BEN0057,BJ,yoruba,yor,yoru1245,yor,2
BEN0058,BJ,adja,ajg,ajab1235,ajg,3
BEN0058,BJ,francais,fra,stan1290,fre,3
BEN0058,BJ,anglais,eng,stan1293,eng,3
BEN0059,BJ,adja,ajg,ajab1235,ajg,3
BEN0059,BJ,fon,fon,fonn1241,fon,3
BEN0059,BJ,francais,fra,stan1290,fre,3
BEN0060,BJ,adja,ajg,ajab1235,ajg,2
BEN0060,BJ,fon,fon,fonn1241,fon,2
BEN0061,BJ,adja,ajg,ajab1235,ajg,2
BEN0061,BJ,fon,fon,fonn1241,fon,2
BEN0062,BJ,adja,ajg,ajab1235,ajg,2
BEN0062,BJ,fon,fon,fonn1241,fon,2
BEN0063,BJ,adja,ajg,ajab1235,ajg,1
BEN0064,BJ,adja,ajg,ajab1235,ajg,1
BEN0065,BJ,adja,ajg,ajab1235,ajg,1
BEN0066,BJ,adja,ajg,ajab1235,ajg,1
BEN0067,BJ,adja,ajg,ajab1235,ajg,2
BEN0067,BJ,yoruba,yor,yoru1245,yor,2
BEN0068,BJ,adja,ajg,ajab1235,ajg,1
BEN0069,BJ,adja,ajg,ajab1235,ajg,1
BEN0070,BJ,adja,ajg,ajab1235,ajg,3
BEN0070,BJ,francais,fra,stan1290,fre,3
BEN0070,BJ,anglais,eng,stan1293,eng,3
BEN0071,BJ,francais,fra,stan1290,fre,2
BEN0071,BJ,adja,ajg,ajab1235,ajg,2
BEN0072,BJ,adja,ajg,ajab1235,ajg,1
BEN0073,BJ,adja,ajg,ajab1235,ajg,1
BEN0074,BJ,adja,ajg,ajab1235,ajg,3
BEN0074,BJ,francais,fra,stan1290,fre,3
BEN0074,BJ,fon,fon,fonn1241,fon,3
BEN0075,BJ,adja,ajg,ajab1235,ajg,3
BEN0075,BJ,fon,fon,fonn1241,fon,3
BEN0075,BJ,francais,fra,stan1290,fre,3
BEN0076,BJ,francais,fra,stan1290,fre,3
BEN0076,BJ,adja,ajg,ajab1235,ajg,3
BEN0076,BJ,yoruba,yor,yoru1245,yor,3
BEN0077,BJ,adja,ajg,ajab1235,ajg,2
BEN0077,BJ,francais,fra,stan1290,fre,2
BEN0078,BJ,adja,ajg,ajab1235,ajg,1
BEN0079,BJ,adja,ajg,ajab1235,ajg,1
BEN0080,BJ,adja,ajg,ajab1235,ajg,1
BEN0081,BJ,adja,ajg,ajab1235,ajg,2
BEN0081,BJ,fon,fon,fonn1241,fon,2
BEN0082,BJ,adja,ajg,ajab1235,ajg,2
BEN0082,BJ,francais,fra,stan1290,fre,2
BEN0083,BJ,adja,ajg,ajab1235,ajg,2
BEN0083,BJ,fon,fon,fonn1241,fon,2
BEN0084,BJ,francais,fra,stan1290,fre,3
BEN0084,BJ,adja,ajg,ajab1235,ajg,3
BEN0084,BJ,fon,fon,fonn1241,fon,3
BEN0085,BJ,adja,ajg,ajab1235,ajg,2
BEN0085,BJ,fon,fon,fonn1241,fon,2
BEN0086,BJ,adja,ajg,ajab1235,ajg,1
BEN0087,BJ,adja,ajg,ajab1235,ajg,1
BEN0088,BJ,adja,ajg,ajab1235,ajg,2
BEN0088,BJ,francais,fra,stan1290,fre,2
BEN0089,BJ,adja,ajg,ajab1235,ajg,2
BEN0089,BJ,fon,fon,fonn1241,fon,2
BEN0090,BJ,adja,ajg,ajab1235,ajg,3
BEN0090,BJ,fon,fon,fonn1241,fon,3
BEN0090,BJ,anglais,eng,stan1293,eng,3
BEN0091,BJ,francais,fra,stan1290,fre,3
BEN0091,BJ,adja,ajg,ajab1235,ajg,3
BEN0091,BJ,fon,fon,fonn1241,fon,3
BEN0092,BJ,adja,ajg,ajab1235,ajg,1
BEN0093,BJ,adja,ajg,ajab1235,ajg,2
BEN0093,BJ,francais,fra,stan1290,fre,2
BEN0094,BJ,adja,ajg,ajab1235,ajg,2
BEN0094,BJ,fon,fon,fonn1241,fon,2
BEN0095,BJ,adja,ajg,ajab1235,ajg,1
BEN0096,BJ,adja,ajg,ajab1235,ajg,3
BEN0096,BJ,francais,fra,stan1290,fre,3
BEN0096,BJ,fon,fon,fonn1241,fon,3
BEN0097,BJ,francais,fra,stan1290,fre,2
BEN0097,BJ,adja,ajg,ajab1235,ajg,2
BEN0098,BJ,adja,ajg,ajab1235,ajg,2
BEN0098,BJ,fon,fon,fonn1241,fon,2
BEN0099,BJ,francais,fra,stan1290,fre,2
BEN0099,BJ,adja,ajg,ajab1235,ajg,2
BEN0100,BJ,adja,ajg,ajab1235,ajg,3
BEN0100,BJ,fon,fon,fonn1241,fon,3
BEN0100,BJ,francais,fra,stan1290,fre,3
BEN0101,BJ,adja,ajg,ajab1235,ajg,3
BEN0101,BJ,francais,fra,stan1290,fre,3
BEN0101,BJ,fon,fon,fonn1241,fon,3
BEN0102,BJ,adja,ajg,ajab1235,ajg,2
BEN0102,BJ,fon,fon,fonn1241,fon,2
BEN0103,BJ,adja,ajg,ajab1235,ajg,1
BEN0104,BJ,adja,ajg,ajab1235,ajg,2
BEN0104,BJ,francais,fra,stan1290,fre,2
BEN0105,BJ,adja,ajg,ajab1235,ajg,1
BEN0106,BJ,adja,ajg,ajab1235,ajg,1
BEN0107,BJ,adja,ajg,ajab1235,ajg,1
BEN0108,BJ,adja,ajg,ajab1235,ajg,2
BEN0108,BJ,fon,fon,fonn1241,fon,2
BEN0109,BJ,adja,ajg,ajab1235,ajg,2
BEN0109,BJ,fon,fon,fonn1241,fon,2
BEN0110,BJ,adja,ajg,ajab1235,ajg,1
BEN0111,BJ,adja,ajg,ajab1235,ajg,3
BEN0111,BJ,francais,fra,stan1290,fre,3
BEN0111,BJ,fon,fon,fonn1241,fon,3
BEN0112,BJ,francais,fra,stan1290,fre,2
BEN0112,BJ,fon,fon,fonn1241,fon,2
BEN0113,BJ,francais,fra,stan1290,fre,2
BEN0113,BJ,adja,ajg,ajab1235,ajg,2
BEN0114,BJ,adja,ajg,ajab1235,ajg,1
BEN0115,BJ,francais,fra,stan1290,fre,2
BEN0115,BJ,adja,ajg,ajab1235,ajg,2
BEN0116,BJ,adja,ajg,ajab1235,ajg,1
BEN0117,BJ,fon,fon,fonn1241,fon,2
BEN0117,BJ,adja,ajg,ajab1235,ajg,2
BEN0118,BJ,adja,ajg,ajab1235,ajg,3
BEN0118,BJ,francais,fra,stan1290,fre,3
BEN0118,BJ,fon,fon,fonn1241,fon,3
BEN0119,BJ,adja,ajg,ajab1235,ajg,2
BEN0119,BJ,fon,fon,fonn1241,fon,2
BEN0120,BJ,francais,fra,stan1290,fre,2
BEN0120,BJ,adja,ajg,ajab1235,ajg,2
BEN0121,BJ,adja,ajg,ajab1235,ajg,2
BEN0121,BJ,fon,fon,fonn1241,fon,2
BEN0122,BJ,adja,ajg,ajab1235,ajg,2
BEN0122,BJ,fon,fon,fonn1241,fon,2
BEN0123,BJ,adja,ajg,ajab1235,ajg,1
BEN0124,BJ,adja,ajg,ajab1235,ajg,1
BEN0125,BJ,fon,fon,fonn1241,fon,3
BEN0125,BJ,adja,ajg,ajab1235,ajg,3
BEN0125,BJ,francais,fra,stan1290,fre,3
BEN0126,BJ,fon,fon,fonn1241,fon,3
BEN0126,BJ,adja,ajg,ajab1235,ajg,3
BEN0126,BJ,francais,fra,stan1290,fre,3
BEN0127,BJ,fon,fon,fonn1241,fon,3
BEN0127,BJ,francais,fra,stan1290,fre,3
BEN0127,BJ,adja,ajg,ajab1235,ajg,3
BEN0128,BJ,adja,ajg,ajab1235,ajg,2
BEN0128,BJ,fon,fon,fonn1241,fon,2
BEN0129,BJ,francais,fra,stan1290,fre,2
BEN0129,BJ,adja,ajg,ajab1235,ajg,2
BEN0130,BJ,fon,fon,fonn1241,fon,2
BEN0130,BJ,adja,ajg,ajab1235,ajg,2
BEN0131,BJ,adja,ajg,ajab1235,ajg,1
BEN0132,BJ,adja,ajg,ajab1235,ajg,4
BEN0132,BJ,fon,fon,fonn1241,fon,4
BEN0132,BJ,francais,fra,stan1290,fre,4
BEN0132,BJ,anglais,eng,stan1293,eng,4
BEN0133,BJ,francais,fra,stan1290,fre,2
BEN0133,BJ,adja,ajg,ajab1235,ajg,2
BEN0134,BJ,fon,fon,fonn1241,fon,2
BEN0134,BJ,adja,ajg,ajab1235,ajg,2
BEN0135,BJ,adja,ajg,ajab1235,ajg,3
BEN0135,BJ,fon,fon,fonn1241,fon,3
BEN0135,BJ,sante (ghana),twi,asan1239,akn,3
BEN0136,BJ,adja,ajg,ajab1235,ajg,2
BEN0136,BJ,anglais,eng,stan1293,eng,2
BEN0137,BJ,fon,fon,fonn1241,fon,3
BEN0137,BJ,francais,fra,stan1290,fre,3
BEN0137,BJ,yoruba,yor,yoru1245,yor,3
BEN0138,BJ,fon,fon,fonn1241,fon,2
BEN0138,BJ,francais,fra,stan1290,fre,2
BEN0139,BJ,francais,fra,stan1290,fre,3
BEN0139,BJ,fon,fon,fonn1241,fon,3
BEN0139,BJ,adja,ajg,ajab1235,ajg,3
BEN0140,BJ,francais,fra,stan1290,fre,2
BEN0140,BJ,fon,fon,fonn1241,fon,2
BEN0141,BJ,fon,fon,fonn1241,fon,1
BEN0142,BJ,fon,fon,fonn1241,fon,1
BEN0143,BJ,francais,fra,stan1290,fre,2
BEN0143,BJ,fon,fon,fonn1241,fon,2
BEN0144,BJ,francais,fra,stan1290,fre,3
BEN0144,BJ,adj,,,,3
BEN0144,BJ,fon,fon,fonn1241,fon,3
BEN0145,BJ,adja,ajg,ajab1235,ajg,2
BEN0145,BJ,fon,fon,fonn1241,fon,2
BEN0146,BJ,adja,ajg,ajab1235,ajg,1
BEN0147,BJ,adja,ajg,ajab1235,ajg,2
BEN0147,BJ,francais,fra,stan1290,fre,2
BEN0148,BJ,adja,ajg,ajab1235,ajg,1
BEN0149,BJ,adja,ajg,ajab1235,ajg,2
BEN0149,BJ,fon,fon,fonn1241,fon,2
BEN0150,BJ,adja,ajg,ajab1235,ajg,2
BEN0150,BJ,fon,fon,fonn1241,fon,2
BEN0151,BJ,yoruba,yor,yoru1245,yor,4
BEN0151,BJ,francais,fra,stan1290,fre,4
BEN0151,BJ,fon,fon,fonn1241,fon,4
BEN0151,BJ,adja,ajg,ajab1235,ajg,4
BEN0152,BJ,adja,ajg,ajab1235,ajg,1
BEN0153,BJ,francais,fra,stan1290,fre,3
BEN0153,BJ,adja,ajg,ajab1235,ajg,3
BEN0153,BJ,fon,fon,fonn1241,fon,3
BEN0154,BJ,francais,fra,stan1290,fre,3
BEN0154,BJ,fon,fon,fonn1241,fon,3
BEN0154,BJ,adja,ajg,ajab1235,ajg,3
BEN0155,BJ,fon,fon,fonn1241,fon,3
