respno,country,lang_name,iso_639_3,glottocode,wals,lang_numb
BEN0254,BJ,fon,fon,fonn1241,fon,1
BEN0255,BJ,fon,fon,fonn1241,fon,1
BEN0256,BJ,fon,fon,fonn1241,fon,1
BEN0257,BJ,fon,fon,fonn1241,fon,1
BEN0258,BJ,fon,fon,fonn1241,fon,1
BEN0259,BJ,fon,fon,fonn1241,fon,1
BEN0260,BJ,fon,fon,fonn1241,fon,2
BEN0260,BJ,francais,fra,stan1290,fre,2
BEN0261,BJ,fon,fon,fonn1241,fon,2
BEN0261,BJ,yoruba,yor,yoru1245,yor,2
BEN0262,BJ,fon,fon,fonn1241,fon,1
BEN0263,BJ,fon,fon,fonn1241,fon,5
BEN0263,BJ,francais,fra,stan1290,fre,5
BEN0263,BJ,yoruba,yor,yoru1245,yor,5
BEN0263,BJ,adja,ajg,ajab1235,ajg,5
BEN0263,BJ,anglais,eng,stan1293,eng,5
BEN0264,BJ,fon,fon,fonn1241,fon,3
BEN0264,BJ,francais,fra,stan1290,fre,3
BEN0264,BJ,dendi,ddn,dend1243,zar,3
BEN0265,BJ,fon,fon,fonn1241,fon,2
BEN0265,BJ,francais,fra,stan1290,fre,2
BEN0266,BJ,fon,fon,fonn1241,fon,2
BEN0266,BJ,francais,fra,stan1290,fre,2
BEN0267,BJ,fon,fon,fonn1241,fon,2
BEN0267,BJ,francais,fra,stan1290,fre,2
BEN0268,BJ,fon,fon,fonn1241,fon,1
BEN0269,BJ,fon,fon,fonn1241,fon,2
BEN0269,BJ,francais,fra,stan1290,fre,2
BEN0270,BJ,fon,fon,fonn1241,fon,1
BEN0271,BJ,fon,fon,fonn1241,fon,2
BEN0271,BJ,francais,fra,stan1290,fre,2
BEN0272,BJ,fon,fon,fonn1241,fon,1
BEN0273,BJ,fon,fon,fonn1241,fon,2
BEN0273,BJ,adja,ajg,ajab1235,ajg,2
BEN0274,BJ,fon,fon,fonn1241,fon,1
BEN0275,BJ,fon,fon,fonn1241,fon,1
BEN0276,BJ,fon,fon,fonn1241,fon,1
BEN0277,BJ,fon,fon,fonn1241,fon,2
