from,to,distance
abb,ako,1
abb,amr,1
abb,ams,1
abb,anl,1
abb,apa,1
abb,arg,1
abb,arh,1
abb,arj,1
abb,arl,1
abb,arq,1
abb,ars,1
abb,arv,1
abb,asy,1
abb,atu,1
abb,mlt,1
abb,hba,2
abb,heb,2
abb,cld,3
abb,mma,3
abb,naa,3
abb,naj,3
abb,nap,3
abb,nsy,3
abb,amh,4
abb,bth,4
abb,chh,4
abb,hrr,4
abb,hrs,4
abb,jib,4
abb,meh,4
abb,muh,4
abb,sod,4
abb,soq,4
abb,tbe,4
abb,tgr,4
abb,tig,4
abb,aar,5
abb,abo,5
abb,agw,5
abb,anc,5
abb,awn,5
abb,bad,5
abb,ban,5
abb,bch,5
abb,bej,5
abb,bfg,5
abb,bid,5
abb,bln,5
abb,blq,5
abb,bma,5
abb,bmz,5
abb,bou,5
abb,bpa,5
abb,brf,5
abb,brj,5
abb,brn,5
abb,bse,5
abb,bsi,5
abb,bud,5
abb,bys,5
abb,cop,5
abb,dab,5
abb,dah,5
abb,dha,5
abb,dim,5
abb,diz,5
abb,dnw,5
abb,dug,5
abb,gam,5
abb,gdf,5
abb,gdr,5
abb,gim,5
abb,giz,5
abb,gnd,5
abb,goe,5
abb,gor,5
abb,gud,5
abb,hau,5
abb,hdi,5
abb,hmr,5
abb,hna,5
abb,irq,5
abb,kbl,5
abb,kef,5
abb,kem,5
abb,ker,5
abb,kjr,5
abb,klb,5
abb,knk,5
abb,ktk,5
abb,kul,5
abb,kwm,5
abb,lag,5
abb,lam,5
abb,lel,5
abb,lmg,5
abb,mas,5
abb,mbr,5
abb,mda,5
abb,mgu,5
abb,mig,5
abb,miy,5
abb,mko,5
abb,mle,5
abb,mlg,5
abb,moc,5
abb,mof,5
abb,mrg,5
abb,mup,5
abb,ngz,5
abb,orb,5
abb,orh,5
abb,orw,5
abb,owc,5
abb,paa,5
abb,per,5
abb,pod,5
abb,qaf,5
abb,ren,5
abb,ron,5
abb,sao,5
abb,sid,5
abb,som,5
abb,ssh,5
abb,tai,5
abb,tan,5
abb,tas,5
abb,ter,5
abb,tgh,5
abb,tmk,5
abb,tsk,5
abb,tug,5
abb,uld,5
abb,wly,5
abb,yms,5
abb,zay,5
abb,zen,5
abd,adi,1
abd,akn,2
abd,ald,2
abd,anu,2
abd,avk,2
abd,ayi,2
abd,ble,2
abd,cum,2
abd,ega,2
abd,ga,2
abd,llm,2
abd,nkn,2
abd,ajg,3
abd,avt,3
abd,ewa,3
abd,ewe,3
abd,fon,3
abd,guw,3
abd,kpo,3
abd,wmn,3
abd,agb,4
abd,agh,4
abd,aiz,4
abd,aka,4
abd,amo,4
abd,awk,4
abd,bab,4
abd,baf,4
abd,bak,4
abd,bas,4
abd,bbl,4
abd,bbu,4
abd,bdu,4
abd,bee,4
abd,bem,4
abd,bet,4
abd,bfi,4
abd,bga,4
abd,bia,4
abd,bir,4
abd,bkn,4
abd,bku,4
abd,blu,4
abd,bmb,4
abd,bmn,4
abd,bni,4
abd,bnk,4
abd,bob,4
abd,bol,4
abd,brb,4
abd,bsh,4
abd,bub,4
abd,buj,4
abd,buk,4
abd,buw,4
abd,buy,4
abd,cga,4
abd,cic,4
abd,cil,4
abd,com,4
abd,day,4
abd,dbd,4
abd,ddj,4
abd,dds,4
abd,deg,4
abd,dga,4
abd,dgb,4
abd,dgo,4
abd,dma,4
abd,dng,4
abd,dok,4
abd,doy,4
abd,dts,4
abd,dua,4
abd,duk,4
abd,dym,4
abd,ebi,4
abd,efi,4
abd,egn,4
abd,eja,4
abd,eko,4
abd,eny,4
abd,ets,4
abd,ewo,4
abd,fef,4
abd,fio,4
abd,fye,4
abd,gad,4
abd,gbb,4
abd,gbk,4
abd,gdi,4
abd,gho,4
abd,gir,4
abd,gok,4
abd,grb,4
abd,grm,4
abd,grn,4
abd,gue,4
abd,gun,4
abd,gus,4
abd,gut,4
abd,gwa,4
abd,gwo,4
abd,heh,4
abd,hem,4
abd,her,4
abd,hnd,4
abd,hol,4
abd,hya,4
abd,ibi,4
abd,ido,4
abd,ifm,4
abd,igb,4
abd,ige,4
abd,ila,4
abd,ise,4
abd,iso,4
abd,izi,4
abd,jar,4
abd,jms,4
abd,juk,4
abd,kan,4
abd,kba,4
abd,kby,4
abd,kfe,4
abd,kga,4
abd,kgm,4
abd,kgr,4
abd,kik,4
abd,kil,4
abd,kin,4
abd,kir,4
abd,kkb,4
abd,kla,4
abd,klk,4
abd,klz,4
abd,kmi,4
abd,kni,4
abd,koh,4
abd,kon,4
abd,kou,4
abd,kow,4
abd,kpa,4
abd,krg,4
abd,ksm,4
abd,ksp,4
abd,kte,4
abd,kwn,4
abd,kwy,4
abd,kyg,4
abd,kyo,4
abd,lbu,4
abd,lda,4
abd,ldo,4
abd,leb,4
abd,leg,4
abd,lgi,4
abd,lin,4
abd,lmb,4
abd,lnd,4
abd,lns,4
abd,lob,4
abd,loz,4
abd,lua,4
abd,luc,4
abd,luv,4
abd,luy,4
abd,lye,4
abd,ma,4
abd,mba,4
abd,mbe,4
abd,mbi,4
abd,mbl,4
abd,mbm,4
abd,mbz,4
abd,mdg,4
abd,mdo,4
abd,mdu,4
abd,mdw,4
abd,mdz,4
abd,mga,4
abd,mgk,4
abd,mgo,4
abd,mhu,4
abd,mit,4
abd,mkd,4
abd,mkq,4
abd,mkz,4
abd,mla,4
abd,mmi,4
abd,mmp,4
abd,mmw,4
abd,mnz,4
abd,moo,4
abd,mpo,4
abd,mtb,4
abd,mua,4
abd,mud,4
abd,mum,4
abd,mwe,4
abd,myg,4
abd,naf,4
abd,nbe,4
abd,nbm,4
abd,nbo,4
