round,variable,country,lang_name,iso_alpha2,n_resp,prop
4,Q3OTHER,14,ichen,NG,2,0.004779492856534368
4,Q3OTHER,19,icishila,ZM,1,0.010186153311284429
4,Q3OTHER,14,igara,NG,1,0.0035118554633383173
4,Q3OTHER,14,igede,NG,19,0.06650773105366926
4,Q3OTHER,6,indian,KE,2,0.04572267222030877
4,Q3OTHER,16,indian,ZA,3,0.06864226964687206
4,Q3OTHER,14,ipia,NG,2,0.003281100675619818
4,Q3OTHER,7,isixhoza,LS,1,0.3684192111468161
4,Q3OTHER,14,iyala,NG,2,0.005458335011454109
4,Q3OTHER,14,jukun,NG,4,0.007837918837288039
4,Q3OTHER,14,jukun donga,NG,2,0.00305842598075367
4,Q3OTHER,3,kado,BF,3,0.13663161166546894
4,Q3OTHER,14,kagoro,NG,1,0.004092647332180855
4,Q3OTHER,14,kagoru,NG,1,0.0014214000441773356
4,Q3OTHER,17,kakaguru,TZ,1,0.0018455780305031916
4,Q3OTHER,11,kakolo,ML,3,0.25604095629880796
4,Q3OTHER,18,kakwa,UG,5,0.028695058524281086
4,Q3OTHER,14,kalabari,NG,7,0.015054888582781437
4,Q3OTHER,14,kambari,NG,10,0.0328282562602592
4,Q3OTHER,14,kambu,NG,1,0.0014020194713284763
4,Q3OTHER,3,karakan,BF,2,0.09108774111031263
4,Q3OTHER,18,karamajong,UG,1,0.011998467703253178
4,Q3OTHER,20,karanga,ZW,24,0.14153317407909216
4,Q3OTHER,14,kari-kari,NG,6,0.021079816491414875
4,Q3OTHER,5,kasem,GH,10,0.03360371720833739
4,Q3OTHER,5,kasina,GH,1,0.005137839244006915
4,Q3OTHER,14,kataf,NG,5,0.024398255505505843
4,Q3OTHER,14,kataf(atyap),NG,4,0.020712578200368408
4,Q3OTHER,14,khana,NG,8,0.01977628095567887
4,Q3OTHER,10,khokhola,MW,3,0.18348895881749838
4,Q3OTHER,17,kial-yorobi,TZ,1,0.0020789453400375866
4,Q3OTHER,17,kiarusha,TZ,5,0.005638227044563082
4,Q3OTHER,17,kiasi,TZ,1,0.0012946758299397772
4,Q3OTHER,17,kibarbaik,TZ,1,0.0012946758299397772
4,Q3OTHER,17,kibembe,TZ,4,0.004516348422713624
4,Q3OTHER,17,kibena,TZ,18,0.0481581537060542
4,Q3OTHER,17,kibondei,TZ,8,0.012219491966826753
4,Q3OTHER,17,kibungu,TZ,1,0.002487055244021874
4,Q3OTHER,17,kidigo,TZ,4,0.013102201324507531
4,Q3OTHER,17,kiha,TZ,48,0.11109092067780986
4,Q3OTHER,17,kihangaza,TZ,18,0.027144909030376425
4,Q3OTHER,17,kihindi,TZ,1,0.0011498029097345903
4,Q3OTHER,17,kiiraqi,TZ,36,0.09290732922333686
4,Q3OTHER,17,kijaluo,TZ,14,0.030800105669684982
4,Q3OTHER,17,kijita,TZ,26,0.06294726525028523
4,Q3OTHER,17,kikerewe,TZ,3,0.003224072519813417
4,Q3OTHER,17,kikimbu,TZ,1,0.0016133038240000864
4,Q3OTHER,17,kikine,TZ,1,0.0021973776987506554
4,Q3OTHER,17,kikinga,TZ,10,0.023976403455533705
4,Q3OTHER,17,kikonongo,TZ,1,7.111486125109972e-4
4,Q3OTHER,17,kikutu,TZ,4,0.009432659280130283
4,Q3OTHER,17,kikwaya,TZ,2,0.004389824397553893
4,Q3OTHER,17,kilambya,TZ,1,0.002256549691394547
4,Q3OTHER,17,kilindi,TZ,1,0.0028185854746972158
4,Q3OTHER,17,kilungwa,TZ,2,0.004219073489030431
4,Q3OTHER,17,kimakua,TZ,5,0.006535913889596555
4,Q3OTHER,17,kimalila,TZ,2,0.0037098707084367963
4,Q3OTHER,17,kimambwe,TZ,1,0.0041615572503397895
4,Q3OTHER,17,kimatengo,TZ,11,0.015450477168644543
4,Q3OTHER,17,kimatumbi,TZ,4,0.007508150003241854
4,Q3OTHER,17,kimbembe,TZ,1,9.20364002683106e-4
4,Q3OTHER,17,kimbulu,TZ,4,0.007196284010275397
4,Q3OTHER,17,kimbungo,TZ,1,0.002487055244021874
4,Q3OTHER,17,kimeru,TZ,1,0.0012178964602560394
4,Q3OTHER,12,kimwani,MZ,2,0.0059198505584730715
4,Q3OTHER,17,kimwera,TZ,15,0.040016741782357965
4,Q3OTHER,17,kindali,TZ,12,0.030704218968729706
4,Q3OTHER,17,kindamba,TZ,1,0.0028711630796817936
4,Q3OTHER,17,kindendeule,TZ,11,0.02802732864764504
4,Q3OTHER,17,kindengereko,TZ,5,0.014076966993753643
4,Q3OTHER,17,kingindo,TZ,6,0.01862457782039725
4,Q3OTHER,17,kingoni,TZ,2,0.004885008096348445
4,Q3OTHER,17,kinyagazwa,TZ,1,0.002139417462759256
4,Q3OTHER,17,kinyambo,TZ,18,0.04159529821732898
4,Q3OTHER,17,kinyamwanga,TZ,5,0.013707167447727469
4,Q3OTHER,17,kinyiha,TZ,7,0.02067006777800914
4,Q3OTHER,17,kipangwa,TZ,2,0.004657061300325597
4,Q3OTHER,17,kipimbwe,TZ,8,0.011480802979123494
4,Q3OTHER,17,kipogoro,TZ,14,0.01834583672121528
4,Q3OTHER,6,kipsigis,KE,1,0.02743676590915289
4,Q3OTHER,17,kirangi,TZ,11,0.020146612348523916
4,Q3OTHER,17,kiryeri,TZ,1,0.00154239011546921
4,Q3OTHER,17,kisafwa,TZ,5,0.009805586040138554
4,Q3OTHER,17,kisagara,TZ,2,0.006727383943470667
4,Q3OTHER,17,kisambaa,TZ,15,0.0347376477329398
4,Q3OTHER,17,kisangu,TZ,3,0.005520451499404925
4,Q3OTHER,17,kishihiri,TZ,1,0.0011498029097345903
4,Q3OTHER,17,kishirazi,TZ,1,5.878613168963946e-4
4,Q3OTHER,17,kishubi,TZ,1,0.001509096646047741
4,Q3OTHER,17,kisuba,TZ,1,0.0021973776987506554
4,Q3OTHER,17,kisumbwa,TZ,4,0.008170266001378004
4,Q3OTHER,17,kitumbatu,TZ,5,0.002993166334382764
4,Q3OTHER,17,kividunda,TZ,1,0.0027371218985689483
4,Q3OTHER,17,kiwanji,TZ,1,0.002256549691394547
4,Q3OTHER,17,kiyao,TZ,16,0.025959578235943994
4,Q3OTHER,17,kizanaki,TZ,1,0.0021949121987769465
4,Q3OTHER,17,kizaramo,TZ,10,0.02857714215492805
4,Q3OTHER,17,kizigua,TZ,24,0.04418589989938432
4,Q3OTHER,17,kizinza,TZ,10,0.0244972433572164
4,Q3OTHER,5,konkoba,GH,11,0.04096042747104459
4,Q3OTHER,20,korekore,ZW,15,0.08331837136636097
4,Q3OTHER,5,kotokoli,GH,1,0.003335985415588865
4,Q3OTHER,18,kumam,UG,8,0.08349353185222874
4,Q3OTHER,19,kunda,ZM,9,0.07027143444355971
4,Q3OTHER,5,kusal,GH,2,0.005337684594662197
4,Q3OTHER,5,kusasi,GH,18,0.06376032535998101
4,Q3OTHER,14,kuteb,NG,3,0.008029772722691902
4,Q3OTHER,14,kwalla,NG,1,0.0033863512204806256
4,Q3OTHER,19,lala,ZM,14,0.12658576133949637
4,Q3OTHER,19,lamba,ZM,11,0.13939433885589844
4,Q3OTHER,5,larteh,GH,1,0.0034240844886718504
4,Q3OTHER,5,lekpekpe,GH,1,0.0037375910710815436
4,Q3OTHER,12,lolo,MZ,5,0.021347560552421166
4,Q3OTHER,12,lomue,MZ,101,0.32237806477691855
4,Q3OTHER,12,lomwe,MZ,1,0.0041109006310600165
4,Q3OTHER,19,luchazi,ZM,1,0.011009126448098485
4,Q3OTHER,18,lululi,UG,11,0.06053950632604835
4,Q3OTHER,19,lunda kazembe,ZM,1,0.006853453717071192
4,Q3OTHER,19,lungu,ZM,11,0.10393257451020546
4,Q3OTHER,18,lwamba,UG,7,0.13120510980647446
4,Q3OTHER,12,macheua,MZ,3,0.010875506240461111
4,Q3OTHER,12,makwe,MZ,1,0.005753422815640294
4,Q3OTHER,20,malawian,ZW,1,0.009666777540510691
4,Q3OTHER,12,malolo,MZ,4,0.017568434975174844
4,Q3OTHER,14,mambilla,NG,4,0.005608077885313905
4,Q3OTHER,5,mampruli,GH,8,0.021992807376410378
4,Q3OTHER,5,mamprusi,GH,9,0.029857671740990178
4,Q3OTHER,14,manga,NG,1,0.002693089031959097
4,Q3OTHER,12,manhembane,MZ,1,0.0024654235238043697
4,Q3OTHER,12,manhungue,MZ,4,0.012617030171923392
4,Q3OTHER,20,manica (mozambican),ZW,1,0.005621262331799021
4,Q3OTHER,20,manyika,ZW,27,0.12099975268388621
4,Q3OTHER,12,marenge,MZ,2,0.01750238027702416
4,Q3OTHER,12,marenje,MZ,1,0.00875119013851208
4,Q3OTHER,14,marghi,NG,12,0.056693876126540796
4,Q3OTHER,15,marocain,SN,1,0.5518718697447571
4,Q3OTHER,12,mateue,MZ,1,0.005366678967711691
4,Q3OTHER,12,mathewe,MZ,1,0.0020280789496424406
4,Q3OTHER,12,matsua,MZ,6,0.023896046295089207
4,Q3OTHER,20,maungwe,ZW,8,0.07875887605828424
4,Q3OTHER,14,mbembe,NG,3,0.007752890407084978
4,Q3OTHER,19,mbunda,ZM,3,0.03670667845000468
4,Q3OTHER,14,michica,NG,1,0.0049125658548495165
4,Q3OTHER,14,minyam,NG,1,0.004295828405409701
4,Q3OTHER,5,mossi,GH,1,0.0018264192195421144
4,Q3OTHER,20,mozambican,ZW,1,0.009666777540510691
4,Q3OTHER,12,muani,MZ,4,0.013743147041997354
4,Q3OTHER,12,muauni,MZ,1,0.0029599252792365358
4,Q3OTHER,13,mufwe,NA,4,0.21588769355129322
4,Q3OTHER,14,mumuye,NG,8,0.022064757034257983
4,Q3OTHER,12,muniga,MZ,1,0.0061993667353000825
4,Q3OTHER,12,munoga,MZ,1,0.0010288794466170848
4,Q3OTHER,14,muryang,NG,1,0.001193679737581909
4,Q3OTHER,14,mwaghawul,NG,3,0.005419097275020178
4,Q3OTHER,7,mzema,LS,1,0.2538956540074229
4,Q3OTHER,5,nafana,GH,1,0.0050330359095593314
4,Q3OTHER,20,nambia,ZW,2,0.0078095431679418145
4,Q3OTHER,20,nambya,ZW,9,0.03395190914800598
4,Q3OTHER,10,namwanga,MW,1,0.02089013927074283
4,Q3OTHER,5,nanum,GH,1,0.0027714084384963026
4,Q3OTHER,10,ndali,MW,6,0.3626965402121067
4,Q3OTHER,20,ndau,ZW,14,0.09243981411671096
4,Q3OTHER,19,ndebele,ZM,1,0.010810969596560688
4,Q3OTHER,14,ndoro,NG,1,0.0032502798661575333
4,Q3OTHER,14,nedere,NG,1,0.004092647332180855
4,Q3OTHER,19,ngumbo,ZM,1,0.009265106416716526
4,Q3OTHER,12,nhungue,MZ,52,0.21375674561675295
4,Q3OTHER,18,nubian,UG,7,0.11767513820237208
4,Q3OTHER,14,numana,NG,1,0.0038991415481533748
4,Q3OTHER,20,nyaho (chawa),ZW,1,0.003689236895359205
4,Q3OTHER,20,nyanja,ZW,7,0.03142827463456717
4,Q3OTHER,13,nyemba,NA,7,0.2792968849078671
4,Q3OTHER,10,nyika,MW,8,0.18036589318811466
4,Q3OTHER,19,nyika,ZM,5,0.05309840780036727
4,Q3OTHER,12,nyungue,MZ,1,0.0029777136311477394
4,Q3OTHER,5,nzema,GH,14,0.044725023367845874
4,Q3OTHER,14,obubra,NG,1,0.0025967825147776053
4,Q3OTHER,14,ogaja,NG,1,0.0038991415481533748
4,Q3OTHER,14,ogbia,NG,8,0.020224103103289197
4,Q3OTHER,14,okirika,NG,34,0.07765161549763229
4,Q3OTHER,14,opobo,NG,1,0.002148460108268602
4,Q3OTHER,14,oron,NG,1,0.0027342592361481845
4,Q3OTHER,16,pashto,ZA,1,0.005722085228634717
4,Q3OTHER,6,pokomo,KE,1,0.017289816022349094
4,Q3OTHER,3,pougouli,BF,1,0.09724801147134586
4,Q3OTHER,14,rendere,NG,1,0.002476714934922024
4,Q3OTHER,12,ronga,MZ,16,0.057359152424967946
4,Q3OTHER,18,rufumbira,UG,22,0.21797649201522795
4,Q3OTHER,18,rulundi,UG,2,0.02534193722991395
4,Q3OTHER,18,runyarwanda,UG,10,0.11247459985892327
4,Q3OTHER,18,rwandese,UG,1,0.007888086007768266
4,Q3OTHER,18,sabiny,UG,18,0.17524272885217443
4,Q3OTHER,6,saboti,KE,1,0.07306176174532639
4,Q3OTHER,19,sala,ZM,2,0.015408746381766435
4,Q3OTHER,11,samogo,ML,5,0.44373129561951274
4,Q3OTHER,13,san,NA,7,0.3257259576355845
4,Q3OTHER,8,sarpo,LR,11,1
4,Q3OTHER,2,sebanderu,BW,3,0.08860943603955865
4,Q3OTHER,5,sefwi,GH,14,0.05631332168047164
4,Q3OTHER,2,segxereku,BW,1,0.073327770008779
4,Q3OTHER,12,sena,MZ,1,0.001083407701191515
4,Q3OTHER,2,senajwa,BW,1,0.03610238148496716
4,Q3OTHER,19,senga,ZM,7,0.1115587050040073
4,Q3OTHER,2,seshona,BW,2,0.07247643877945294
4,Q3OTHER,2,sesotho,BW,1,0.043513382872062904
4,Q3OTHER,2,setlharwa,BW,2,0.0398686059910778
4,Q3OTHER,2,setswapong,BW,19,0.6157181828905797
4,Q3OTHER,2,sezezuru,BW,1,0.030383801933521828
4,Q3OTHER,20,shangani,ZW,2,0.012306731634043418
4,Q3OTHER,12,shona,MZ,5,0.025421984220842273
4,Q3OTHER,19,shona,ZM,1,0.007704373190883218
4,Q3OTHER,12,"shona, cheua",MZ,1,0.006191428814562635
4,Q3OTHER,14,shuwa arab,NG,1,0.004214291901164087
4,Q3OTHER,13,sifwe,NA,1,0.05561181531276738
4,Q3OTHER,5,sisila,GH,13,0.03415347161778575
