round,lang_name,variable,iso_alpha2,country,glottocode,glottolog_name,level
4,ichen,Q3OTHER,NG,14,etky1238,Etkywan,language
4,icishila,Q3OTHER,ZM,19,,,
4,igara,Q3OTHER,NG,14,igal1242,Igala,language
4,igede,Q3OTHER,NG,14,iged1239,Igede,language
4,indian,Q3OTHER,KE,6,guja1252,Gujarati,language
4,indian,Q3OTHER,ZA,16,hind1269,Hindi,language
4,ipia,Q3OTHER,NG,14,,,
4,isixhoza,Q3OTHER,LS,7,xhos1239,Xhosa,language
4,iyala,Q3OTHER,NG,14,yala1263,Yala,language
4,jukun,Q3OTHER,NG,14,juku1254,Jukun Takum,language
4,jukun donga,Q3OTHER,NG,14,juku1254,Jukun Takum,language
4,kado,Q3OTHER,BF,3,,,
4,kagoro,Q3OTHER,NG,14,tyap1238,Tyap,language
4,kagoru,Q3OTHER,NG,14,tyap1238,Tyap,language
4,kakaguru,Q3OTHER,TZ,17,,,
4,kakolo,Q3OTHER,ML,11,kago1248,Kagoro,language
4,kakwa,Q3OTHER,UG,18,kakw1240,Kakwa,language
4,kalabari,Q3OTHER,NG,14,kala1381,Kalabari,language
4,kambari,Q3OTHER,NG,14,tsis1238,Salka-Tsishingini,language
4,kambu,Q3OTHER,NG,14,limb1268,Limbum,language
4,karakan,Q3OTHER,BF,3,,,
4,karamajong,Q3OTHER,UG,18,,,
4,karanga,Q3OTHER,ZW,20,shon1251,Shona,language
4,kari-kari,Q3OTHER,NG,14,kare1348,Karekare,language
4,kasem,Q3OTHER,GH,5,kase1253,Kasem,language
4,kasina,Q3OTHER,GH,5,kase1253,Kasem,language
4,kataf,Q3OTHER,NG,14,tyap1238,Tyap,language
4,kataf(atyap),Q3OTHER,NG,14,tyap1238,Tyap,language
4,khana,Q3OTHER,NG,14,khan1278,Khana,language
4,khokhola,Q3OTHER,MW,10,koko1267,Kokola,language
4,kial-yorobi,Q3OTHER,TZ,17,,,
4,kiarusha,Q3OTHER,TZ,17,,,
4,kiasi,Q3OTHER,TZ,17,,,
4,kibarbaik,Q3OTHER,TZ,17,,,
4,kibembe,Q3OTHER,TZ,17,bemb1255,Bembe,language
4,kibena,Q3OTHER,TZ,17,bena1262,Bena (Tanzania),language
4,kibondei,Q3OTHER,TZ,17,bond1247,Bondei,language
4,kibungu,Q3OTHER,TZ,17,bung1265,Bungu,language
4,kidigo,Q3OTHER,TZ,17,digo1243,Digo,language
4,kiha,Q3OTHER,TZ,17,haaa1252,Ha,language
4,kihangaza,Q3OTHER,TZ,17,hang1260,Hangaza,language
4,kihindi,Q3OTHER,TZ,17,hind1269,Hindi,language
4,kiiraqi,Q3OTHER,TZ,17,,,
4,kijaluo,Q3OTHER,TZ,17,,,
4,kijita,Q3OTHER,TZ,17,jita1239,Jita,language
4,kikerewe,Q3OTHER,TZ,17,kere1283,Kerewe,language
4,kikimbu,Q3OTHER,TZ,17,kimb1242,Kimbu,language
4,kikine,Q3OTHER,TZ,17,suba1252,Suba-Simbiti,language
4,kikinga,Q3OTHER,TZ,17,nucl1379,Kinga,language
4,kikonongo,Q3OTHER,TZ,17,kono1265,Konongo,language
4,kikutu,Q3OTHER,TZ,17,kutu1263,Kutu,language
4,kikwaya,Q3OTHER,TZ,17,kway1241,Kwaya,language
4,kilambya,Q3OTHER,TZ,17,lamb1272,Lambya,language
4,kilindi,Q3OTHER,TZ,17,,,
